species,1.8,2.3,5.6,6.5,16.2,24,24,65,28,118,65,600
Melanerpes_erythrocephalus,1,1,0,1,1,1,1,1,1,1,1,1
Myiarchus_crinitus,1,1,1,1,1,1,1,1,1,1,1,1
Cyanocitta_cristata,1,1,1,1,1,1,1,1,1,1,1,1
Turdus_migratorius,1,1,1,1,1,1,1,1,1,1,1,1
Cardinalis_cardinalis,1,1,1,1,1,1,1,1,1,1,1,1
Passerina_cyanea,1,1,1,1,1,1,1,1,1,1,1,1
Vireo_olivaceus,0,0,1,1,1,1,1,1,1,1,1,1
Quiscalus_quiscula,1,0,1,1,1,1,1,1,1,1,1,1
Picoides_pubescens,1,1,1,1,1,1,1,1,1,1,1,1
Colaptes_auratus,0,1,1,1,1,1,1,1,1,1,1,1
Contopus_virens,1,1,1,1,1,1,1,1,1,1,1,1
Coccyzus_americanus,0,0,1,1,1,1,1,1,1,1,1,1
Zenaida_macroura,0,0,0,1,0,1,1,1,1,1,0,1
Dumetella_carolinensis,0,1,0,0,0,1,1,0,1,0,1,1
Oporornis_formosus,0,0,0,0,0,0,0,0,0,1,1,1
Troglodytes_aedon,0,1,0,0,0,1,1,1,1,1,1,1
Molothrus_ater,0,1,1,1,1,1,1,1,1,1,1,1
Carduelis_tristis,0,1,1,1,0,1,1,1,1,1,1,1
Toxostoma_rufum,0,0,1,0,0,1,1,0,1,0,0,0
Hylocichla_mustelina,0,0,0,0,1,1,1,1,1,1,1,1
Pipilo_erythrophthalmus,0,0,1,1,0,0,1,1,1,1,1,1
Melanerpes_carolinus,0,0,1,1,1,1,1,1,1,1,1,1
Piranga_rubra,0,0,0,0,0,1,1,1,1,1,1,1
Empidonax_virescens,0,0,0,0,0,0,1,1,0,1,1,1
Agelaius_phoeniceus,0,0,0,0,0,1,0,1,1,0,1,1
Icteria_virens,0,0,0,0,0,0,1,0,1,0,0,0
Spizella_passerina,0,0,0,0,0,0,0,0,0,1,0,0
Geothlypis_trichas,0,1,0,0,0,1,1,1,1,0,0,0
Baeolophus_bicolor,0,0,0,0,0,0,1,1,1,1,1,1
Sitta_carolinensis,0,0,0,0,0,0,0,1,1,1,1,1
Parus_atricapillus,0,0,0,0,0,0,0,1,1,1,1,1
Polioptila_caerulea,0,0,0,0,0,0,0,0,0,0,1,1
Catharus_fuscescens,0,0,0,0,0,0,0,0,0,1,0,1
Picoides_villosus,0,0,0,0,1,1,0,1,1,1,1,1
Icterus_galbula,0,0,0,0,1,0,0,0,0,1,0,0
Parula_americana,0,0,0,0,0,0,0,0,0,0,0,1
Pheucticus_ludovicianus,0,0,0,0,0,0,0,1,1,1,1,1
Vireo_griseus,0,0,0,0,0,0,0,0,0,0,1,0
Dendroica_dominica,0,0,0,0,0,0,0,0,0,0,0,1
Vireo_flavifrons,0,0,0,1,1,0,0,0,0,1,0,1
Dendroica_cerulea,0,0,0,0,0,0,0,0,0,0,0,1
Seiurus_aurocapilla,0,0,0,0,0,1,1,0,0,1,1,1
Archilochus_colubris,0,0,0,0,0,0,0,0,0,0,0,1
Certhia_americana,0,0,0,0,0,0,0,0,0,0,0,1
Bombycilla_cedrorum,0,0,0,0,0,0,0,1,0,0,0,0
Spizella_pusilla,0,0,0,0,0,0,0,0,1,0,0,1
Melospiza_melodia,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,
Area (ha),1.8,2.3,5.1,6.5,16.2,24,24,65,28,118,65,600
sp.r,9,14,16,18,18,25,27,29,31,32,32,39
