species,A,B,E,C,F,D,G,I,H
Apalis_thoracica,1,1,1,1,1,1,1,1,1
Pycnonotus_barbatus,1,1,1,1,1,1,1,1,1
Camaroptera_brachyura,1,1,1,1,1,1,1,1,1
Batis_capensis,1,1,1,1,1,1,1,1,1
Cossypha_caffra,1,1,1,1,1,1,1,1,1
Zosterops_pallidus,1,1,1,1,1,1,1,1,1
Cossypha_dichroa,1,1,1,1,1,1,1,1,1
Anthreptes_collaris,1,1,1,1,1,1,1,1,1
Nectarinia_afra,1,1,1,1,1,1,1,1,1
Turdus_olivaceus,1,1,1,1,1,1,1,1,1
Mesopicos_griseocephalus,1,1,1,1,1,1,1,1,1
Dryoscopus_cubla,1,1,1,1,1,1,1,1,1
Andropadus_importunus,1,1,1,1,1,1,1,1,1
Laniarius_ferrugineus,1,1,1,1,1,1,1,1,1
Prinia_hypoxantha,1,1,1,1,1,1,1,1,1
Phyllastrephus_terrestris,1,1,1,1,1,1,1,1,1
Phylloscopus_ruficapilla,1,1,1,1,1,1,1,1,1
Streptopelia_semitorquata,1,1,1,1,1,1,1,1,0
Oriolus_larvatus,1,1,1,1,1,1,1,1,0
Streptopelia_capicola,1,1,1,1,1,1,1,1,0
Aplopelia_larvata,1,1,1,1,1,1,1,0,1
Pogonocichla_stellata,1,1,1,1,1,1,1,0,1
Muscicapa_adusta,1,1,1,1,0,1,1,1,1
Terpsiphone_viridis,1,1,1,1,0,1,1,1,1
Telophorus_olivaceus,1,1,1,1,1,1,1,0,0
Columba_arquatrix,1,1,1,1,1,1,1,0,0
Dicrurus_adsimilis,1,1,1,1,0,1,1,1,0
Tauraco_corythaix,1,1,1,1,1,1,0,0,0
Trochocercus_cyanomelas,1,1,1,0,1,1,1,0,0
Ploceus_bicolor,1,1,0,1,1,1,0,1,0
Bostrychia_hagedash,1,0,1,1,1,1,0,1,0
Parus_niger,0,1,1,0,1,0,1,1,1
Serinus_scotops,1,1,1,0,1,0,1,0,0
Nectarinia_amethystina,1,0,0,0,1,0,1,1,0
Chrysococcyx_cupreus,1,1,1,0,0,0,0,0,0
Pogoniulus_pusillus,1,1,0,0,1,0,0,0,0
Guttera_pucherani,1,0,1,1,0,0,0,0,0
Accipiter_minullus,1,0,1,1,0,0,0,0,0
Coracina_caesia,1,0,0,0,1,1,0,0,0
Apalis_flavida,0,1,0,1,0,0,0,0,1
Apaloderma_narina,1,1,0,0,0,0,0,0,0
Amblyospiza_albifrons,1,0,0,0,0,0,0,1,0
Batis_molitor,1,0,0,0,0,0,1,0,0
Buteo_buteo,1,0,0,0,0,0,1,0,0
Muscicapa_striata,1,0,0,0,0,1,0,0,0
Stephanoaetus_coronatus,0,0,0,1,1,0,0,0,0
Phoeniculus_purpureus,0,0,0,0,0,0,0,1,0
Colius_striatus,0,0,1,0,0,0,0,0,0
Accipiter_melanoleucus,0,1,0,0,0,0,0,0,0
Campethera_abingoni,1,0,0,0,0,0,0,0,0
Polyboroides_typus,1,0,0,0,0,0,0,0,0
Onychognathus_morio,1,0,0,0,0,0,0,0,0
Indicator_variegatus,1,0,0,0,0,0,0,0,0
Dicrurus_ludwigii,1,0,0,0,0,0,0,0,0
,,,,,,,,,
Area (ha),215,138.2,45.8,123.8,15,85,3,0.5,1.72
sp.r,48,37,36,34,34,33,33,29,23
