species,C,B,D,A,G,I,E,F,H
Apalis_thoracica,1,1,1,1,1,1,1,1,1
Pycnonotus_barbatus,1,1,1,1,1,1,1,1,1
Oriolus_larvatus,1,1,1,1,1,1,1,1,1
Camaroptera_brachyura,1,1,1,1,1,1,1,1,1
Batis_capensis,1,1,1,1,1,1,1,1,1
Cossypha_caffra,1,1,1,1,1,1,1,1,1
Zosterops_pallidus,1,1,1,1,1,1,1,1,1
Anthreptes_collaris,1,1,1,1,1,1,1,1,1
Dicrurus_adsimilis,1,1,1,1,1,1,1,1,1
Nectarinia_afra,1,1,1,1,1,1,1,1,1
Mesopicos_griseocephalus,1,1,1,1,1,1,1,1,1
Terpsiphone_viridis,1,1,1,1,1,1,1,1,1
Dryoscopus_cubla,1,1,1,1,1,1,1,1,1
Streptopelia_semitorquata,1,1,1,1,1,1,1,1,1
Andropadus_importunus,1,1,1,1,1,1,1,1,1
Laniarius_ferrugineus,1,1,1,1,1,1,1,1,1
Phyllastrephus_terrestris,1,1,1,1,1,1,1,1,1
Phylloscopus_ruficapilla,1,1,1,1,1,1,1,1,1
Ploceus_bicolor,1,1,1,1,1,1,1,1,0
Tauraco_corythaix,1,1,1,1,1,1,1,1,0
Columba_arquatrix,1,1,1,1,1,1,1,1,0
Trochocercus_cyanomelas,1,1,1,1,1,1,1,0,1
Cossypha_dichroa,1,1,1,1,1,1,0,1,1
Muscicapa_adusta,1,1,1,1,1,1,0,1,1
Aplopelia_larvata,1,1,1,1,1,0,1,1,1
Pogonocichla_stellata,1,1,1,1,1,0,1,1,1
Turdus_olivaceus,1,1,1,1,0,1,0,1,1
Parus_niger,1,1,1,1,1,1,0,0,0
Chrysococcyx_cupreus,1,1,1,1,0,0,1,0,1
Streptopelia_capicola,1,1,1,0,0,1,1,0,1
Serinus_scotops,1,0,1,1,1,1,0,1,0
Coracina_caesia,1,1,1,1,0,1,0,0,0
Apalis_flavida,0,1,1,1,0,1,0,0,0
Telophorus_olivaceus,0,0,1,1,1,1,0,0,0
Pogoniulus_pusillus,0,0,1,1,0,0,0,1,0
Campethera_abingoni,0,1,0,0,0,1,0,0,1
Nectarinia_amethystina,0,1,0,0,1,1,0,0,0
Francolinus_afer,1,1,0,0,0,0,1,0,0
Stephanoaetus_coronatus,1,0,1,0,0,0,1,0,0
Prinia_hypoxantha,0,0,0,0,1,0,1,0,0
Turtur_tympanistria,1,0,0,0,1,0,0,0,0
Zoothera_gurneyi,1,0,1,0,0,0,0,0,0
Batis_molitor,0,0,0,0,0,0,0,0,1
Colius_striatus,0,0,0,0,0,0,0,1,0
Bostrychia_hagedash,0,0,0,0,1,0,0,0,0
Accipiter_melanoleucus,0,0,0,1,0,0,0,0,0
Chlorocichla_flaviventris,0,0,0,1,0,0,0,0,0
Guttera_pucherani,0,1,0,0,0,0,0,0,0
Apaloderma_narina,0,1,0,0,0,0,0,0,0
Polyboroides_typus,1,0,0,0,0,0,0,0,0
Accipiter_minullus,1,0,0,0,0,0,0,0,0
,,,,,,,,,
Area (ha),105,149.5,81.48,273,3.6,0.5,37,13,1.7
sp.r,38,37,37,36,33,33,29,29,28
