species,Suduroy,Sumbiarholmur,Litla.Dimun,Stora.Dimun,Skuvoy,Sandoy,Trollhovdi,Hestur,Koltur,Mykines,Mykinesholmur,Tindholmur,Vagar,Nolsoy,Streymoy,Eysturoy,Kalsoy,Kunoy,Bordoy,Vidoy,Svinoy,Fugloy
Falco_columbarius,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
Pluvialis_apricaria,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Numenius_phaeopus,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Calidris_maritima,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
Streptopelia_decaocto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Columba_livia,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
Alauda_arvensis,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Corvus_corax,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Corvus_corone,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Troglodytes_troglodytes,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Turdus_iliacus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Turdus_merula,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
Oenanthe_oenanthe,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Regulus_regulus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Anthus_pratensis,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Anthus_petrosus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Motacilla_alba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Sturnus_vulgaris,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Plectrophenax_nivalis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Passer_domesticus,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,
Area (ha),16600,11,74,270,1000,11210,20,610,250,1020,44,66,17760,1030,37350,28640,3090,3550,9490,4100,2740,1120
sp.r,17,1,3,7,12,15,3,12,8,11,4,5,14,12,19,20,13,12,15,14,10,12
