species,Cove,Flowerpot,Bear.s.rump,Russel,North.Otter,Echo,Peter.s,South.Otter,Devil,Doctor,Snake,Turning,Middle,Harbour
Dendroica_petechia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Setophaga_ruticilla,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Dendroica_coronata,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Troglodytes_troglodytes,1,1,1,1,1,1,1,1,1,1,0,1,0,0
Catharus_fuscescens,1,1,1,1,1,1,1,1,1,1,0,1,0,0
Bombycilla_cedrorum,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Parus_atricapillus,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Melospiza_melodia,1,0,1,1,0,0,1,0,1,1,1,1,0,1
Vireo_olivaceus,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sitta_canadensis,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Dendroica_virens,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Mniotilta_varia,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Cyanocitta_cristata,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Catharus_ustulatus,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Turdus_migratorius,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Dendroica_magnolia,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Archilochus_colubris,1,1,1,1,0,0,0,0,1,1,0,1,0,0
Contopus_virens,1,1,1,0,1,1,0,0,0,0,0,1,0,0
Corvus_brachyrhynchos,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Seiurus_aurocapilla,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Wilsonia_canadensis,1,1,1,1,0,1,0,0,1,0,0,0,0,0
Picoides_pubescens,1,1,0,0,1,1,1,1,0,0,0,0,0,0
Zonotrichia_albicollis,1,0,0,1,0,0,1,0,1,1,0,0,0,0
Colaptes_auratus,1,1,0,1,1,0,0,0,1,0,0,0,0,0
Hirundo_rustica,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Bubo_virginianus,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Stelgidopteryx_serripennis,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Myiarchus_crinitus,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Tyrannus_tyrannus,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Dumetella_carolinensis,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Dendroica_fusca,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Dendroica_caerulescens,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Cathartes_aura,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Scolopax_minor,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Carduelis_tristis,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Carpodacus_purpureus,1,0,1,1,0,0,0,0,1,0,0,0,0,0
Corvus_corax,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Spizella_passerina,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Picoides_villosus,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dryocopus_pileatus,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Vermivora_ruficapilla,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Buteo_platypterus,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Troglodytes_aedon,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Seiurus_motacilla,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Zenaida_macroura,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Falco_columbarius,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Branta_canadensis,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Parula_americana,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Buteo_jamaicensis,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Oporornis_philadelphia,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Coccyzus_erythropthalmus,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cardinalis_cardinalis,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Carduelis_pinus,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sayornis_phoebe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Empidonax_minimus,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Falco_sparverius,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pheucticus_ludovicianus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chordeiles_minor,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Caprimulgus_vociferus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylocichla_mustelina,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermivora_peregrina,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sturnella_magna,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Circus_cyaneus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Accipiter_striatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegolius_acadicus,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Empidonax_alnorum,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccothraustes_vespertinus,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Area (ha),874.66,216.69,96.16,90.42,35.85,23,21.39,14.15,7.98,4.41,2.67,1.53,0.94,0.5
sp.r,58,44,37,39,22,22,25,15,18,13,3,9,3,2
