species,Kauai,Oahu,Molokai,Lanai,Maui,Hawaii
Alectoris_chukar,1,0,1,1,1,1
Francolinus_pondicerianus,1,1,1,1,1,1
Francolinus_erckelii,1,1,0,1,0,1
Coturnix_japonica,1,0,0,0,0,1
Gallus_gallus,1,0,0,0,0,0
Phasianus_colchicus,1,1,1,1,1,1
Anas_platyrhynchos,1,1,1,0,1,1
Anas_wyvilliana,1,1,0,0,0,1
Psittacula_krameri,1,1,0,0,0,1
Tyto_alba,1,1,1,1,1,1
Asio_flammeus,1,1,1,1,1,1
Columba_livia,1,1,1,1,1,1
Stigmatopelia_chinensis,1,1,1,1,1,1
Geopelia_striata,1,1,1,1,1,1
Gallinula_chloropus,1,1,0,0,0,0
Fulica_alai,1,1,1,1,1,1
Himantopus_mexicanus,1,1,1,1,1,1
Anous_minutus,1,0,1,1,1,1
Phaethon_rubricauda,1,1,0,1,0,0
Phaethon_lepturus,1,1,1,1,1,1
Sula_sula,1,1,0,0,0,0
Bubulcus_ibis,1,1,1,0,1,1
Nycticorax_nycticorax,1,1,1,1,1,1
Puffinus_pacificus,1,1,1,1,1,1
Puffinus_newelli,1,0,1,0,0,1
Phoebastria_immutabilis,1,1,0,0,0,0
Oceanodroma_castro,1,0,0,0,0,1
Chasiempis_sandwichensis,1,1,0,0,0,1
Myadestes_obscurus,0,0,0,0,0,1
Myadestes_palmeri,1,0,0,0,0,0
Copsychus_malabaricus,1,1,1,1,0,0
Acridotheres_tristis,1,1,1,1,1,1
Mimus_polyglottos,1,1,1,1,1,1
Zosterops_japonicus,1,1,1,1,1,1
Garrulax_pectoralis,1,0,0,0,0,0
Garrulax_canorus,1,1,0,0,1,1
Leiothrix_lutea,0,1,1,0,1,1
Passer_domesticus,1,1,1,1,1,1
Lonchura_punctulata,1,1,1,1,1,1
Padda_oryzivora,1,1,1,1,1,1
Carpodacus_mexicanus,1,1,1,1,1,1
Psittirostra_psittacea,1,0,0,0,0,1
Hemignathus_kauaiensis,1,0,0,0,0,0
Hemignathus_parvus,1,0,0,0,0,0
Oreomystis_bairdi,1,0,0,0,0,0
Loxops_caeruleirostris,1,0,0,0,0,0
Vestiaria_coccinea,1,1,1,0,1,1
Himatione_sanguinea,1,1,1,1,1,1
Paroaria_coronata,1,1,1,1,1,1
Cardinalis_cardinalis,1,1,1,1,1,1
Sturnella_neglecta,1,0,0,0,0,0
Pavo_cristatus,1,1,0,0,1,1
Collocalia_bartschi,0,1,0,0,0,0
Gygis_alba,0,1,0,0,0,0
Pycnonotus_jocosus,0,1,0,0,0,0
Pycnonotus_cafer,0,1,0,0,0,0
Cettia_diphone,1,1,1,1,1,1
Alauda_arvensis,1,1,1,1,1,1
Estrilda_melpoda,0,1,0,0,1,0
Estrilda_astrild,0,1,0,0,1,1
Amandava_amandava,1,1,0,0,0,1
Serinus_mozambicus,0,1,0,0,0,1
Hemignathus_virens,0,0,1,0,1,1
Sicalis_flaveola,0,1,0,0,0,1
Tiaris_olivaceus,0,1,0,0,0,0
Francolinus_francolinus,1,1,1,1,1,1
Myadestes_lanaiensis,0,0,1,0,0,0
Lonchura_cantans,1,1,1,1,1,1
Meleagris_gallopavo,0,1,1,1,1,1
Callipepla_californica,1,0,1,0,1,1
Callipepla_gambelii,0,0,0,1,0,1
Pterodroma_sandwichensis,1,0,0,1,1,1
Branta_sandvicensis,1,0,1,0,1,1
Pseudonestor_xanthophrys,0,0,0,0,1,0
Paroreomyza_montana,0,0,0,0,1,0
Palmeria_dolei,0,0,0,0,1,0
Paroaria_capitata,0,0,0,0,0,1
Lophura_leucomelanos,0,1,0,0,0,1
Zenaida_macroura,1,1,0,0,1,1
Pterocles_exustus,0,0,0,0,0,1
Buteo_solitarius,0,0,0,0,0,1
Uraeginthus_bengalus,0,0,0,0,0,1
Estrilda_caerulescens,0,0,0,0,0,1
Loxioides_bailleui,0,0,0,0,0,1
Hemignathus_munroi,0,0,0,0,0,1
Oreomystis_mana,0,0,0,0,0,1
Loxops_coccineus,0,0,0,0,0,1
Hemignathus_flavus,0,1,0,0,0,0
Amazona_viridigenalis,0,1,0,0,0,0
Lonchura_atricapilla,1,1,0,0,1,1
Aratinga_mitrata,0,0,0,0,1,0
Phasianus_versicolor,1,1,0,0,1,1
Branta_canadensis,0,0,0,0,0,1
Chrysolophus_pictus,0,0,0,0,1,0
Aratinga_erythrogenys,0,1,0,0,0,1
,,,,,,
Area (ha),143460,158330,67790,35840,190330,1043400
sp.r,61,59,39,34,49,68
