species,Lanzarote,Fuerteventura,Gran.Canaria,Tenerife,La.Gomera,La.Palma,El.Hierro,Extinct
Bubulcus_ibis,1,0,0,0,0,0,0,N
Egretta_garzetta,1,0,0,0,0,0,0,N
Ixobrychus_minutus,0,0,0,1,0,0,0,N
Marmaronetta_angustirostris,0,1,0,1,0,0,0,N
Tadorna_ferruginea,1,1,1,1,0,0,0,N
Accipiter_nisus,0,0,1,1,1,1,1,N
Buteo_buteo,0,1,1,1,1,1,1,N
Neophron_percnopterus,1,1,0,0,0,0,0,N
Falco_eleonorae,1,0,0,0,0,0,0,N
Falco_pelegrinoides,1,1,1,1,1,1,1,N
Falco_tinnunculus,1,1,1,1,1,1,1,N
Coturnix_coturnix,1,1,1,1,1,1,1,N
Chlamydotis_undulata,1,1,0,0,0,0,0,N
Fulica_atra,0,1,1,1,1,0,0,N
Gallinula_chloropus,0,1,1,1,1,0,0,N
Burhinus_oedicnemus,1,1,1,1,1,1,1,N
Charadrius_alexandrinus,1,1,1,0,0,0,0,N
Charadrius_dubius,0,1,1,1,0,0,0,N
Cursorius_cursor,1,1,0,0,0,0,0,N
Larus_michahellis,1,1,1,1,1,1,1,N
Himantopus_himantopus,1,1,1,0,0,0,0,N
Scolopax_rusticola,0,0,1,1,1,1,1,N
Columba_bollii,0,0,0,1,1,1,1,N
Columba_junoniae,0,0,1,1,1,1,1,N
Columba_livia,1,1,1,1,1,1,1,N
Streptopelia_decaocto,1,1,1,1,1,1,1,N
Streptopelia_turtur,1,1,1,1,1,1,1,N
Asio_otus,0,1,1,1,1,1,1,N
Tyto_alba,1,1,1,1,1,1,1,N
Apus_apus,1,0,1,1,0,0,0,N
Apus_pallidus,1,1,1,1,0,0,1,N
Apus_unicolor,1,1,1,1,1,1,1,N
Upupa_epops,1,1,1,1,1,1,1,N
Dendrocopos_major,0,0,1,1,0,0,0,N
Calandrella_rufescens,1,1,1,0,0,0,0,N
Corvus_corax,1,1,1,1,1,1,1,N
Pyrrhocorax_pyrrhocorax,0,0,0,0,0,1,0,N
Miliaria_calandra,1,1,1,1,1,0,1,N
Bucanetes_githagineus,1,1,1,1,1,0,0,N
Carduelis_cannabina,1,1,1,1,1,1,1,N
Carduelis_carduelis,1,1,1,1,1,1,1,N
Carduelis_chloris,0,0,1,1,1,1,1,N
Fringilla_coelebs,0,0,1,1,1,1,1,N
Fringilla_teydea,0,0,1,1,0,0,0,N
Serinus_canaria,1,1,1,1,1,1,1,N
Hirundo_rustica,0,0,1,0,0,0,0,N
Lanius_meridionalis,1,1,1,1,0,0,0,N
Anthus_berthelotii,1,1,1,1,1,1,1,N
Motacilla_cinerea,0,0,1,1,1,1,0,N
Parus_teneriffae,1,1,1,1,1,1,1,N
Passer_hispaniolensis,1,1,1,1,1,1,1,N
Passer_montanus,0,0,1,0,0,0,0,N
Petronia_petronia,0,0,1,1,1,0,1,N
Sturnus_vulgaris,0,0,1,1,0,0,0,N
Phylloscopus_canariensis,0,0,1,1,1,1,1,N
Regulus_regulus,0,0,0,1,1,1,1,N
Sylvia_atricapilla,0,0,1,1,1,1,1,N
Sylvia_conspicillata,1,1,1,1,1,1,1,N
Sylvia_melanocephala,1,1,1,1,1,1,1,N
Erithacus_rubecula,0,0,1,1,1,1,1,N
Saxicola_dacotiae,0,1,0,0,0,0,0,N
Turdus_merula,0,0,1,1,1,1,1,N
Serinus_serinus,0,0,1,1,0,0,0,N
Pterocles_orientalis,0,1,0,0,0,0,0,N
Stigmatopelia_senegalensis,1,1,1,1,1,0,0,N
,,,,,,,,
Area (ha),82355,166513,153200,205800,37800,72900,27800,
sp.r,36,40,52,51,40,35,36,
