species,Santiago2,Fogo,Brava,San.Antao,S.Vicente,S.Luzia,Branco,Raso,S.Nicolau,Sal,Boavista,Maio
Coturnix_coturnix,1,1,1,1,1,0,0,1,1,1,1,1
Halcyon_leucocephala,1,1,1,0,0,0,0,0,0,0,0,0
Apus_alexandri,1,1,1,1,0,0,0,0,1,0,0,0
Tyto_alba,1,1,1,1,0,0,1,1,1,0,1,1
Charadrius_alexandrinus,1,0,0,0,1,0,0,0,0,1,1,1
Cursorius_cursor,1,0,0,0,1,0,0,0,1,1,1,1
Pandion_haliaetus,1,1,1,1,1,1,1,1,1,1,1,1
Neophron_percnopterus,0,0,0,1,0,0,0,0,1,0,1,1
Buteo_buteo,1,0,0,1,0,0,0,0,0,0,0,0
Falco_tinnunculus,1,1,1,1,1,1,1,1,1,1,1,1
Falco_peregrinus,1,0,1,0,0,0,0,0,1,0,0,0
Phaethon_aethereus,1,1,1,1,0,0,0,1,1,1,1,0
Sula_leucogaster,1,0,1,0,0,0,0,1,1,0,1,0
Egretta_garzetta,1,1,1,1,1,1,1,1,1,1,1,1
Bubulcus_ibis,1,0,0,0,0,0,0,0,0,0,0,0
Ardea_purpurea,1,0,0,0,0,0,0,0,0,0,0,0
Pterodroma_feae,1,1,0,1,0,0,0,0,1,0,0,0
Calonectris_diomedea,1,0,1,0,0,0,1,1,1,0,0,0
Puffinus_assimilis,1,1,1,1,1,0,1,1,1,0,1,0
Corvus_ruficollis,1,1,1,1,1,1,1,1,1,1,1,1
Acrocephalus_brevipennis,1,1,0,0,0,0,0,0,1,0,0,0
Sylvia_atricapilla,1,1,1,1,0,0,0,0,1,0,0,0
Sylvia_conspicillata,1,1,1,1,1,0,0,0,1,0,1,1
Eremopterix_nigriceps,1,1,0,0,0,0,0,0,0,0,1,1
Ammomanes_cinctura,1,1,0,0,0,0,0,0,1,1,1,1
Passer_iagoensis,1,0,1,1,1,1,0,1,1,1,1,1
Bulweria_bulwerii,0,0,0,0,0,0,1,1,0,0,0,0
Pelagodroma_marina,0,0,0,0,0,0,1,0,0,0,1,1
Oceanodroma_castro,1,0,0,1,0,1,1,1,1,0,0,0
Alauda_razae,0,0,0,0,0,0,0,1,0,0,0,0
Himantopus_himantopus,0,0,0,0,0,0,0,0,0,1,0,0
Alaemon_alaudipes,0,0,0,0,0,0,0,0,0,0,1,1
Gallinula_chloropus,1,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,
Area (ha),100957,47480,6660,78730,23280,3670,294,700,35220,22150,63410,27900
sp.r,27,16,16,16,10,6,10,14,21,11,19,15
