species,Suduroy,Sumbiarholmur,Litla Dimun,Stora Dimun,Skuvoy,Sandoy,Trollhovdi,Hestur,Koltur,Mykines,Mykinesholmur,Tindholmur,Vagar,Nolsoy,Streymoy,Eysturoy,Kalsoy,Kunoy,Bordoy,Vidoy,Svinoy,Fugloy
Gavia_stellata,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Anser_anser,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Anas_platyrhynchos,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Anas_crecca,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Aythya_fuligula,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Mergus_serrator,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
Falco_columbarius,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
Haematopus_ostralegus,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Vanellus_vanellus,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Charadrius_hiaticula,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Pluvialis_apricaria,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Gallinago_gallinago,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Numenius_phaeopus,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Tringa_totanus,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Calidris_maritima,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0
Calidris_alpina,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1
Phalaropus_lobatus,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Catharacta_skua,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1
Stercorarius_parasiticus,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Larus_marinus,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Larus_fuscus,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Larus_argentatus,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Larus_canus,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0
Larus_ridibundus,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0
Streptopelia_decaocto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Columba_livia,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
Alauda_arvensis,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Corvus_corax,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Corvus_corone,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Troglodytes_troglodytes,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Turdus_iliacus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Turdus_merula,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
Oenanthe_oenanthe,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Regulus_regulus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Anthus_pratensis,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Anthus_petrosus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Motacilla_alba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Sturnus_vulgaris,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Plectrophenax_nivalis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Passer_domesticus,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,
Area (ha),16600,11,74,270,1000,11210,20,610,250,1020,44,66,17760,1030,37350,28640,3090,3550,9490,4100,2740,1120
sp.r,35,6,7,13,20,34,7,21,13,19,6,9,31,27,38,38,20,21,28,23,19,21
