species,Wangi-wangi,Oroho,Kapota,Hoga,Kaledupa,Tomia,Lintea Selatan,Binongko,Runduma
Megapodius_reinwardt,1,1,0,1,1,0,1,0,1
Coturnix_chinensis,1,0,0,0,0,0,0,0,0
Macropygia_amboinensis,1,1,0,1,1,1,0,1,0
Chalcophaps_indica,1,0,1,1,1,1,0,1,1
Treron_vernans,1,0,0,1,0,0,0,1,0
Treron_griseicauda,1,1,0,1,1,1,1,1,1
Ducula_concinna,1,1,1,1,1,1,1,1,0
Ducula_rosacea,0,0,0,0,0,0,0,0,1
Ducula_bicolor,0,0,0,0,1,1,0,0,0
Ptilinopus_melanospilus,1,1,1,1,1,1,0,1,1
Eurostopodus_macrotis,1,1,1,1,1,0,0,0,0
Hemiprocne_longipennis,0,0,0,0,1,0,0,0,0
Collocalia_esculenta,1,1,1,1,1,1,1,1,1
Collocalia_vanikorensis,0,0,0,0,0,0,0,1,0
Cypsiurus_balasiensis,0,0,0,0,1,1,0,1,0
Centropus_bengalensis,1,0,0,0,1,1,0,1,0
Scythrops_novaehollandiae,1,1,1,0,1,0,0,0,0
Cacomantis_merulinus,1,1,0,1,1,0,0,1,0
Cacomantis_variolosus,1,1,0,1,1,1,1,0,0
Surniculus_lugubris,0,0,0,0,1,1,0,0,0
Gallirallus_torquatus,1,1,0,1,1,1,1,1,0
Gallirallus_philippensis,0,0,0,0,1,0,0,0,0
Amaurornis_phoenicurus,0,0,0,0,1,1,0,1,1
Ixobrychus_flavicollis,0,0,0,0,1,0,0,0,0
Nycticorax_caledonicus,1,0,0,0,0,1,0,0,0
Butorides_striata,1,1,0,1,1,1,0,1,0
Ardea_sumatrana,1,1,1,1,1,1,0,1,0
Ardea_purpurea,1,1,0,1,0,0,0,1,0
Casmerodius_albus,1,0,0,0,1,0,0,0,1
Egretta_garzetta,1,1,1,1,1,1,0,0,0
Egretta_sacra,0,0,0,0,1,1,0,1,1
Fregata_minor,1,1,0,1,1,1,0,1,1
Sula_sula,1,1,0,0,1,1,0,1,1
Phalacrocorax_melanoleucos,0,1,1,0,1,0,0,0,0
Phalacrocorax_sulcirostris,0,0,1,0,0,1,0,0,1
Esacus_giganteus,0,1,0,1,0,0,1,0,0
Himantopus_leucocephalus,0,0,0,0,1,1,0,0,0
Charadrius_peronii,0,0,0,1,1,0,0,0,0
Sterna_bergii,0,1,1,0,0,0,0,0,1
Tyto_rosenbergii,0,0,0,0,1,0,0,0,0
Otus_magicus,1,0,0,0,1,0,0,0,0
Pandion_haliaetus,1,1,1,1,1,1,0,1,0
Aviceda_subcristata,1,1,0,1,1,0,0,0,0
Circus_assimilis,1,0,0,0,0,1,0,1,0
Accipiter_fasciatus,1,0,0,0,1,1,0,1,0
Accipiter_rhodogaster,1,0,0,0,1,0,0,0,0
Haliaeetus_leucogaster,1,0,1,0,1,0,0,1,1
Haliastur_indus,1,1,0,0,0,0,0,0,0
Butastur_liventer,0,0,0,0,1,0,0,0,0
Eurystomus_orientalis,1,1,0,0,1,0,0,1,1
Alcedo_atthis,0,0,0,0,1,0,0,0,0
Todiramphus_chloris,1,1,1,1,1,1,1,1,1
Falco_moluccensis,1,0,0,0,1,1,0,1,0
Falco_severus,0,0,0,0,0,1,0,0,0
Cacatua_sulphurea,0,1,0,0,0,0,1,1,0
Trichoglossus_ornatus,0,0,0,0,1,0,0,0,0
Tanygnathus_megalorynchos,1,1,0,1,1,1,0,0,0
Pitta_elegans,1,0,0,1,1,0,0,0,0
Oriolus_chinensis,1,1,1,1,1,1,1,1,1
Artamus_leucorynchus,1,1,1,1,1,1,0,1,0
Coracina_tenuirostris,1,0,1,1,1,0,0,1,0
Lalage_leucopygialis,1,1,0,0,1,1,0,1,0
Dicrurus_hottentottus,1,1,1,1,1,1,0,1,0
Monarcha_cinerascens,1,1,1,1,1,1,1,1,1
Corvus_enca,1,1,1,1,1,1,1,1,1
Cisticola_exilis,0,0,0,0,1,0,0,0,0
Cisticola_juncidis,1,0,0,0,0,1,0,0,0
Hirundo_tahitica,1,1,1,1,1,1,0,1,0
Zosterops_chloris,1,1,1,0,1,1,1,1,1
Zosterops_consobrinorum,1,0,0,0,0,0,0,0,0
Aplonis_minor,1,1,1,1,1,1,0,1,0
Saxicola_caprata,1,1,0,0,1,1,0,1,0
Dicaeum_celebicum,1,1,1,1,1,1,0,1,0
Nectarinia_jugularis,1,1,1,1,1,1,1,1,1
Lonchura_molucca,1,1,0,1,1,1,1,1,0
Passer_montanus,1,0,1,0,1,1,0,1,1
,,,,,,,,,
Area (ha),15500,1270,1830,350,6400,5300,820,10000,550
sp.r,53,40,26,35,61,44,15,42,22
